1;Madelin;;Gianina;Luxen;985957;4085;01.04.1993;true;Room 738;654-466-0350;gluxen0@upenn.edu;03/14/2011;05.06.2015;02/21/2023;01/18/2044;4,98735E+17;;;;
2;Pren;;Polly;Parkey;751504;7602;09/30/1990;true;12th Floor;803-756-6115;pparkey1@zimbio.com;11/21/2019;10.06.2016;02/19/2021;02/18/2035;1,23661E+16;;;;
3;Retha;;Roscoe;Jevons;228247;6396;08/15/1992;false;6th Floor;558-674-4517;rjevons2@dell.com;01.12.2012;02/26/2019;01/20/2024;01/20/2039;4,27641E+17;;;;
4;Ellynn;;Billy;Rehme;864874;2973;12.06.2004;true;Suite 20;694-644-9072;brehme3@toplist.cz;06/21/2019;03.08.2019;06/25/2021;12/18/2031;8,35109E+17;;;;
5;Shannan;;Ynes;Nowak;123840;7962;06.11.1995;true;Apt 1593;609-776-1123;ynowak4@nydailynews.com;06/24/2018;01/28/2019;08/30/2022;12/27/2032;3,57141E+17;;;;
6;Ambur;;Lemar;Clissell;431346;4656;03/18/1999;false;16th Floor;989-530-2679;lclissell5@dailymotion.com;07/28/2013;06.12.2019;08/20/2021;05/14/2034;6,80485E+17;;;;
7;Ebony;;Molly;Vernalls;979533;4499;08.10.1994;true;PO Box 14293;480-791-2990;mvernalls6@engadget.com;11.11.2017;12/25/2019;01.01.2024;10/18/2037;4,27506E+17;;;;
8;Celine;;Bryn;Echelle;391073;8624;06.11.2008;true;Room 140;615-299-7243;bechelle7@pcworld.com;06.02.2014;10/31/2017;11.04.2023;10.06.2042;2,85064E+17;;;;
9;Putnem;;Alina;Coleby;928184;6467;11/25/2009;false;Apt 781;460-874-1597;acoleby8@apache.org;03/22/2014;08.01.2015;08.11.2022;02/26/2031;6,74253E+17;;;;
10;Sasha;;Ingrid;Essel;369789;5279;02/27/2000;true;Suite 62;161-156-9715;iessel9@amazon.de;03/28/2016;10/19/2019;04.01.2022;11/28/2035;5,00259E+17;;;;
11;Devan;;Clair;Kindon;669021;7329;08/31/1990;false;PO Box 42856;748-699-4551;ckindona@amazonaws.com;01.04.2012;06/29/2015;01.01.2024;06/23/2040;7,78448E+17;;;;
